"miRNA_Group","Influence"
"hsa-miR-130a-5p","10"
"hsa-miR-34a-5p","1"
"hsa-miR-22-5p","9"
"hsa-miR-222-5p","9"
"hsa-miR-342-5p","11"
"hsa-miR-146a-5p","0"
"hsa-miR-223-5p","0"
"hsa-miR-99a-5p","0"
"hsa-miR-6797-5p","0"
"hsa-miR-3614-5p","0"
"hsa-miR-130a-5p hsa-miR-34a-5p","9"
"hsa-miR-130a-5p hsa-miR-22-5p","13"
"hsa-miR-130a-5p hsa-miR-222-5p","11"
"hsa-miR-130a-5p hsa-miR-342-5p","10"
"hsa-miR-130a-5p hsa-miR-146a-5p","10"
"hsa-miR-130a-5p hsa-miR-223-5p","8"
"hsa-miR-130a-5p hsa-miR-99a-5p","11"
"hsa-miR-130a-5p hsa-miR-6797-5p","10"
"hsa-miR-130a-5p hsa-miR-3614-5p","10"
"hsa-miR-34a-5p hsa-miR-22-5p","12"
"hsa-miR-34a-5p hsa-miR-222-5p","9"
"hsa-miR-34a-5p hsa-miR-342-5p","11"
"hsa-miR-34a-5p hsa-miR-146a-5p","1"
"hsa-miR-34a-5p hsa-miR-223-5p","2"
"hsa-miR-34a-5p hsa-miR-99a-5p","2"
"hsa-miR-34a-5p hsa-miR-6797-5p","1"
"hsa-miR-34a-5p hsa-miR-3614-5p","2"
"hsa-miR-22-5p hsa-miR-222-5p","11"
"hsa-miR-22-5p hsa-miR-342-5p","9"
"hsa-miR-22-5p hsa-miR-146a-5p","9"
"hsa-miR-22-5p hsa-miR-223-5p","8"
"hsa-miR-22-5p hsa-miR-99a-5p","10"
"hsa-miR-22-5p hsa-miR-6797-5p","9"
"hsa-miR-22-5p hsa-miR-3614-5p","9"
"hsa-miR-222-5p hsa-miR-342-5p","11"
"hsa-miR-222-5p hsa-miR-146a-5p","9"
"hsa-miR-222-5p hsa-miR-223-5p","8"
"hsa-miR-222-5p hsa-miR-99a-5p","10"
"hsa-miR-222-5p hsa-miR-6797-5p","9"
"hsa-miR-222-5p hsa-miR-3614-5p","9"
"hsa-miR-342-5p hsa-miR-146a-5p","11"
"hsa-miR-342-5p hsa-miR-223-5p","11"
"hsa-miR-342-5p hsa-miR-99a-5p","12"
"hsa-miR-342-5p hsa-miR-6797-5p","11"
"hsa-miR-342-5p hsa-miR-3614-5p","11"
"hsa-miR-146a-5p hsa-miR-223-5p","0"
"hsa-miR-146a-5p hsa-miR-99a-5p","0"
"hsa-miR-146a-5p hsa-miR-6797-5p","0"
"hsa-miR-146a-5p hsa-miR-3614-5p","0"
"hsa-miR-223-5p hsa-miR-99a-5p","1"
"hsa-miR-223-5p hsa-miR-6797-5p","0"
"hsa-miR-223-5p hsa-miR-3614-5p","0"
"hsa-miR-99a-5p hsa-miR-6797-5p","0"
"hsa-miR-99a-5p hsa-miR-3614-5p","0"
"hsa-miR-6797-5p hsa-miR-3614-5p","0"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p","15"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p","11"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-342-5p","13"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-146a-5p","9"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-223-5p","9"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-99a-5p","10"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-6797-5p","9"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-3614-5p","9"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-222-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-342-5p","12"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-146a-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-223-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-99a-5p","14"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-6797-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-3614-5p","13"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-342-5p","11"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-146a-5p","11"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-223-5p","12"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-99a-5p","12"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-6797-5p","11"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-3614-5p","11"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-146a-5p","10"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-223-5p","12"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-99a-5p","11"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-6797-5p","10"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-3614-5p","10"
"hsa-miR-130a-5p hsa-miR-146a-5p hsa-miR-223-5p","8"
"hsa-miR-130a-5p hsa-miR-146a-5p hsa-miR-99a-5p","11"
"hsa-miR-130a-5p hsa-miR-146a-5p hsa-miR-6797-5p","10"
"hsa-miR-130a-5p hsa-miR-146a-5p hsa-miR-3614-5p","10"
"hsa-miR-130a-5p hsa-miR-223-5p hsa-miR-99a-5p","10"
"hsa-miR-130a-5p hsa-miR-223-5p hsa-miR-6797-5p","8"
"hsa-miR-130a-5p hsa-miR-223-5p hsa-miR-3614-5p","8"
"hsa-miR-130a-5p hsa-miR-99a-5p hsa-miR-6797-5p","11"
"hsa-miR-130a-5p hsa-miR-99a-5p hsa-miR-3614-5p","11"
"hsa-miR-130a-5p hsa-miR-6797-5p hsa-miR-3614-5p","10"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-222-5p","11"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-342-5p","9"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-146a-5p","12"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-223-5p","12"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-99a-5p","13"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-6797-5p","12"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-3614-5p","12"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-342-5p","11"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-146a-5p","9"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-223-5p","9"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-99a-5p","10"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-6797-5p","9"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-3614-5p","9"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-146a-5p","11"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-223-5p","12"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-99a-5p","12"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-6797-5p","11"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-3614-5p","12"
"hsa-miR-34a-5p hsa-miR-146a-5p hsa-miR-223-5p","2"
"hsa-miR-34a-5p hsa-miR-146a-5p hsa-miR-99a-5p","2"
"hsa-miR-34a-5p hsa-miR-146a-5p hsa-miR-6797-5p","1"
"hsa-miR-34a-5p hsa-miR-146a-5p hsa-miR-3614-5p","2"
"hsa-miR-34a-5p hsa-miR-223-5p hsa-miR-99a-5p","4"
"hsa-miR-34a-5p hsa-miR-223-5p hsa-miR-6797-5p","2"
"hsa-miR-34a-5p hsa-miR-223-5p hsa-miR-3614-5p","2"
"hsa-miR-34a-5p hsa-miR-99a-5p hsa-miR-6797-5p","2"
"hsa-miR-34a-5p hsa-miR-99a-5p hsa-miR-3614-5p","3"
"hsa-miR-34a-5p hsa-miR-6797-5p hsa-miR-3614-5p","2"
"hsa-miR-22-5p hsa-miR-222-5p hsa-miR-342-5p","11"
"hsa-miR-22-5p hsa-miR-222-5p hsa-miR-146a-5p","11"
"hsa-miR-22-5p hsa-miR-222-5p hsa-miR-223-5p","11"
"hsa-miR-22-5p hsa-miR-222-5p hsa-miR-99a-5p","12"
"hsa-miR-22-5p hsa-miR-222-5p hsa-miR-6797-5p","11"
"hsa-miR-22-5p hsa-miR-222-5p hsa-miR-3614-5p","11"
"hsa-miR-22-5p hsa-miR-342-5p hsa-miR-146a-5p","9"
"hsa-miR-22-5p hsa-miR-342-5p hsa-miR-223-5p","8"
"hsa-miR-22-5p hsa-miR-342-5p hsa-miR-99a-5p","10"
"hsa-miR-22-5p hsa-miR-342-5p hsa-miR-6797-5p","9"
"hsa-miR-22-5p hsa-miR-342-5p hsa-miR-3614-5p","9"
"hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-223-5p","8"
"hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-99a-5p","10"
"hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-6797-5p","9"
"hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-3614-5p","9"
"hsa-miR-22-5p hsa-miR-223-5p hsa-miR-99a-5p","10"
"hsa-miR-22-5p hsa-miR-223-5p hsa-miR-6797-5p","8"
"hsa-miR-22-5p hsa-miR-223-5p hsa-miR-3614-5p","8"
"hsa-miR-22-5p hsa-miR-99a-5p hsa-miR-6797-5p","10"
"hsa-miR-22-5p hsa-miR-99a-5p hsa-miR-3614-5p","10"
"hsa-miR-22-5p hsa-miR-6797-5p hsa-miR-3614-5p","9"
"hsa-miR-222-5p hsa-miR-342-5p hsa-miR-146a-5p","11"
"hsa-miR-222-5p hsa-miR-342-5p hsa-miR-223-5p","11"
"hsa-miR-222-5p hsa-miR-342-5p hsa-miR-99a-5p","12"
"hsa-miR-222-5p hsa-miR-342-5p hsa-miR-6797-5p","11"
"hsa-miR-222-5p hsa-miR-342-5p hsa-miR-3614-5p","11"
"hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-223-5p","8"
"hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-99a-5p","10"
"hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-6797-5p","9"
"hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-3614-5p","9"
"hsa-miR-222-5p hsa-miR-223-5p hsa-miR-99a-5p","10"
"hsa-miR-222-5p hsa-miR-223-5p hsa-miR-6797-5p","8"
"hsa-miR-222-5p hsa-miR-223-5p hsa-miR-3614-5p","8"
"hsa-miR-222-5p hsa-miR-99a-5p hsa-miR-6797-5p","10"
"hsa-miR-222-5p hsa-miR-99a-5p hsa-miR-3614-5p","10"
"hsa-miR-222-5p hsa-miR-6797-5p hsa-miR-3614-5p","9"
"hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-223-5p","11"
"hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-99a-5p","12"
"hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-6797-5p","11"
"hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-3614-5p","11"
"hsa-miR-342-5p hsa-miR-223-5p hsa-miR-99a-5p","13"
"hsa-miR-342-5p hsa-miR-223-5p hsa-miR-6797-5p","11"
"hsa-miR-342-5p hsa-miR-223-5p hsa-miR-3614-5p","11"
"hsa-miR-342-5p hsa-miR-99a-5p hsa-miR-6797-5p","12"
"hsa-miR-342-5p hsa-miR-99a-5p hsa-miR-3614-5p","12"
"hsa-miR-342-5p hsa-miR-6797-5p hsa-miR-3614-5p","11"
"hsa-miR-146a-5p hsa-miR-223-5p hsa-miR-99a-5p","1"
"hsa-miR-146a-5p hsa-miR-223-5p hsa-miR-6797-5p","0"
"hsa-miR-146a-5p hsa-miR-223-5p hsa-miR-3614-5p","0"
"hsa-miR-146a-5p hsa-miR-99a-5p hsa-miR-6797-5p","0"
"hsa-miR-146a-5p hsa-miR-99a-5p hsa-miR-3614-5p","0"
"hsa-miR-146a-5p hsa-miR-6797-5p hsa-miR-3614-5p","0"
"hsa-miR-223-5p hsa-miR-99a-5p hsa-miR-6797-5p","1"
"hsa-miR-223-5p hsa-miR-99a-5p hsa-miR-3614-5p","1"
"hsa-miR-223-5p hsa-miR-6797-5p hsa-miR-3614-5p","0"
"hsa-miR-99a-5p hsa-miR-6797-5p hsa-miR-3614-5p","0"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-222-5p","13"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-342-5p","14"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-146a-5p","15"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-223-5p","15"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-99a-5p","16"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-6797-5p","15"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-3614-5p","15"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-342-5p","12"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-146a-5p","11"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-223-5p","13"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-99a-5p","12"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-6797-5p","12"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-3614-5p","12"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-146a-5p","13"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-223-5p","12"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-99a-5p","14"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-6797-5p","12"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-3614-5p","13"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-146a-5p hsa-miR-223-5p","9"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-146a-5p hsa-miR-99a-5p","10"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-146a-5p hsa-miR-6797-5p","9"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-146a-5p hsa-miR-3614-5p","9"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-223-5p hsa-miR-99a-5p","11"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-223-5p hsa-miR-6797-5p","13"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-223-5p hsa-miR-3614-5p","9"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-99a-5p hsa-miR-6797-5p","10"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-99a-5p hsa-miR-3614-5p","10"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-6797-5p hsa-miR-3614-5p","10"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-342-5p","14"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-146a-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-223-5p","12"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-99a-5p","14"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-6797-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-3614-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-342-5p hsa-miR-146a-5p","12"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-342-5p hsa-miR-223-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-342-5p hsa-miR-99a-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-342-5p hsa-miR-6797-5p","12"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-342-5p hsa-miR-3614-5p","12"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-223-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-99a-5p","14"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-6797-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-3614-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-223-5p hsa-miR-99a-5p","15"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-223-5p hsa-miR-6797-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-223-5p hsa-miR-3614-5p","13"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-99a-5p hsa-miR-6797-5p","14"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-99a-5p hsa-miR-3614-5p","14"
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-6797-5p hsa-miR-3614-5p","13"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-146a-5p","11"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-223-5p","12"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-99a-5p","12"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-6797-5p","11"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-3614-5p","11"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-223-5p","12"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-99a-5p","12"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-6797-5p","11"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-3614-5p","11"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-223-5p hsa-miR-99a-5p","14"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-223-5p hsa-miR-6797-5p","12"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-223-5p hsa-miR-3614-5p","12"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-99a-5p hsa-miR-6797-5p","12"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-99a-5p hsa-miR-3614-5p","12"
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-6797-5p hsa-miR-3614-5p","11"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-223-5p","12"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-99a-5p","11"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-6797-5p","10"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-3614-5p","10"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-223-5p hsa-miR-99a-5p","14"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-223-5p hsa-miR-6797-5p","10"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-223-5p hsa-miR-3614-5p","12"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-99a-5p hsa-miR-6797-5p","11"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-99a-5p hsa-miR-3614-5p","11"
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-6797-5p hsa-miR-3614-5p","10"
"hsa-miR-130a-5p hsa-miR-146a-5p hsa-miR-223-5p hsa-miR-99a-5p","10"
"hsa-miR-130a-5p hsa-miR-146a-5p hsa-miR-223-5p hsa-miR-6797-5p","8"
"hsa-miR-130a-5p hsa-miR-146a-5p hsa-miR-223-5p hsa-miR-3614-5p","8"
"hsa-miR-130a-5p hsa-miR-146a-5p hsa-miR-99a-5p hsa-miR-6797-5p","11"
"hsa-miR-130a-5p hsa-miR-146a-5p hsa-miR-99a-5p hsa-miR-3614-5p","11"
"hsa-miR-130a-5p hsa-miR-146a-5p hsa-miR-6797-5p hsa-miR-3614-5p","10"
"hsa-miR-130a-5p hsa-miR-223-5p hsa-miR-99a-5p hsa-miR-6797-5p","10"
"hsa-miR-130a-5p hsa-miR-223-5p hsa-miR-99a-5p hsa-miR-3614-5p","10"
"hsa-miR-130a-5p hsa-miR-223-5p hsa-miR-6797-5p hsa-miR-3614-5p","8"
"hsa-miR-130a-5p hsa-miR-99a-5p hsa-miR-6797-5p hsa-miR-3614-5p","11"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-342-5p","11"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-146a-5p","11"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-223-5p","12"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-99a-5p","12"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-6797-5p","11"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-3614-5p","11"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-342-5p hsa-miR-146a-5p","9"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-342-5p hsa-miR-223-5p","9"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-342-5p hsa-miR-99a-5p","10"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-342-5p hsa-miR-6797-5p","9"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-342-5p hsa-miR-3614-5p","9"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-223-5p","12"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-99a-5p","13"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-6797-5p","12"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-146a-5p hsa-miR-3614-5p","12"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-223-5p hsa-miR-99a-5p","14"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-223-5p hsa-miR-6797-5p","12"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-223-5p hsa-miR-3614-5p","12"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-99a-5p hsa-miR-6797-5p","13"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-99a-5p hsa-miR-3614-5p","13"
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-6797-5p hsa-miR-3614-5p","12"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-146a-5p","11"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-223-5p","11"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-99a-5p","12"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-6797-5p","11"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-3614-5p","11"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-223-5p","9"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-99a-5p","10"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-6797-5p","9"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-146a-5p hsa-miR-3614-5p","9"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-223-5p hsa-miR-99a-5p","11"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-223-5p hsa-miR-6797-5p","9"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-223-5p hsa-miR-3614-5p","9"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-99a-5p hsa-miR-6797-5p","10"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-99a-5p hsa-miR-3614-5p","10"
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-6797-5p hsa-miR-3614-5p","9"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-223-5p","12"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-99a-5p","12"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-6797-5p","11"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-146a-5p hsa-miR-3614-5p","12"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-223-5p hsa-miR-99a-5p","14"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-223-5p hsa-miR-6797-5p","12"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-223-5p hsa-miR-3614-5p","12"
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-99a-5p hsa-miR-6797-5p","12"
